StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,samtycke,hon1,hon2,hon3,han1,han2,han3,hen1,hen2,hen3,control1,control2,control3,30f1,30f2,30f3,30f5,30f10,50f10,50f11,50f3,50f7,50f8,50f9,5030f7,50f12,50f17,50f13,75f1,75f2,75f4,75f5,70f3,Q60,Q62,GIS_1,GIS_2,GIS_3,GIS_4,essentialism_1,essentialism_2,essentialism_3,essentialism_4,essentialism_5,essentialism_6,essentialism_7,essentialism_8,hen_attitudes_1,hen_attitudes_2,hen_attitudes_3,hen_use,hen_hear,hen_fam,hen_fam_4_TEXT,Q66,Q68,Q70,Q72,token,han1 - Parent Topics,han1 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,samtycke,Mening 1,Mening 2,Mening 3,Mening 1,Mening 2,Mening 3,Mening 1,Mening 2,Mening 3,Mening 1,Mening 2,Mening 3,30f1,30f2,30f3,30f5,30f10,50f10,50f11,50f3,50f7,50f8,50f9,5030f7,50f12,50f17,50f13,75f1,75f2,75f4,75f5,70f3,Ålder: :,Könsidentitet:,Nedan några frågor om hur du upplever din könsidentitet. Ange i vilken utsträckning du håller med om vart och ett av dessa påståenden. - Min könsidentitet har väldigt lite att göra med vad jag känner för mig själv.,Nedan några frågor om hur du upplever din könsidentitet. Ange i vilken utsträckning du håller med om vart och ett av dessa påståenden. - Min könsidentitet är en viktig del av min självbild.,Nedan några frågor om hur du upplever din könsidentitet. Ange i vilken utsträckning du håller med om vart och ett av dessa påståenden. - Min könsidentitet är en viktig återspegling av vem jag är.,Nedan några frågor om hur du upplever din könsidentitet. Ange i vilken utsträckning du håller med om vart och ett av dessa påståenden. - Min könsidentitet har inte betydelse för min känsla av vilken sorts person jag är.,"Nedan följer några påstående om kön och genus. Ange i vilken grad du håller med om vart och ett av dessa.


En del av dessa påståenden kan upplevas extrema. De finns med eftersom åsikter om könsidentitet har visat sig variera mycket. - Det finns bara två kön, man eller kvinna.","Nedan följer några påstående om kön och genus. Ange i vilken grad du håller med om vart och ett av dessa.


En del av dessa påståenden kan upplevas extrema. De finns med eftersom åsikter om könsidentitet har visat sig variera mycket. - Alla vuxna människor identifierar sig som antingen man eller kvinna.","Nedan följer några påstående om kön och genus. Ange i vilken grad du håller med om vart och ett av dessa.


En del av dessa påståenden kan upplevas extrema. De finns med eftersom åsikter om könsidentitet har visat sig variera mycket. - En individ är antingen man eller kvinna, och är det hela livet.","Nedan följer några påstående om kön och genus. Ange i vilken grad du håller med om vart och ett av dessa.


En del av dessa påståenden kan upplevas extrema. De finns med eftersom åsikter om könsidentitet har visat sig variera mycket. - Alla män har en penis och alla kvinnor har en vagina.","Nedan följer några påstående om kön och genus. Ange i vilken grad du håller med om vart och ett av dessa.


En del av dessa påståenden kan upplevas extrema. De finns med eftersom åsikter om könsidentitet har visat sig variera mycket. - Det är bara en social norm att tillskriva bebisar ett kön baserat på hur deras kroppar ser ut.","Nedan följer några påstående om kön och genus. Ange i vilken grad du håller med om vart och ett av dessa.


En del av dessa påståenden kan upplevas extrema. De finns med eftersom åsikter om könsidentitet har visat sig variera mycket. - Även en person med genitalier som inte går att könsbestämma enligt kategorierna kvinna/man är fortfarande antingen kvinna eller man.","Nedan följer några påstående om kön och genus. Ange i vilken grad du håller med om vart och ett av dessa.


En del av dessa påståenden kan upplevas extrema. De finns med eftersom åsikter om könsidentitet har visat sig variera mycket. - Jag identifierar mig som feminist.","Nedan följer några påstående om kön och genus. Ange i vilken grad du håller med om vart och ett av dessa.


En del av dessa påståenden kan upplevas extrema. De finns med eftersom åsikter om könsidentitet har visat sig variera mycket. - Jag identifierar mig som HBTQ-person","Nedan följer några frågor om dina åsikter om ordet hen.   
 

Hen är ett pronomen som kan användas ickebinärt, d v s om personer som inte identifierar sig som varken kvinna eller man. Hen kan också användas mer generellt, till exempel när någons kön är okänt eller irrelevant. - Vad är din allmänna åsikt om hen?","Nedan följer några frågor om dina åsikter om ordet hen.   
 

Hen är ett pronomen som kan användas ickebinärt, d v s om personer som inte identifierar sig som varken kvinna eller man. Hen kan också användas mer generellt, till exempel när någons kön är okänt eller irrelevant. - Vad tycker du om hen som ett pronomen för någon som inte identifierar sig som varken kvinna eller man?","Nedan följer några frågor om dina åsikter om ordet hen.   
 

Hen är ett pronomen som kan användas ickebinärt, d v s om personer som inte identifierar sig som varken kvinna eller man. Hen kan också användas mer generellt, till exempel när någons kön är okänt eller irrelevant. - Vad tycker du om hen i generell användning, t ex när någons kön är okänt eller irrelevant?",Hur ofta använder du hen?,Hur ofta tycker du att du ser/hör hen användas av andra?,Känner du till någon/några som använder hen som sitt pronomen? Markera samtliga alternativ som stämmer för dig. - Selected Choice,"Känner du till någon/några som använder hen som sitt pronomen? Markera samtliga alternativ som stämmer för dig. - Ja, annan person (ange) - Text",Vad tror du att studien handlade om?,Kände du att du förväntades svara på ett speciellt sätt?,Påverkade det hur du svarade? Hur?,Tyckte du att några av ansiktena såg konstiga ut eller fick dig att reagera på något speciellt sätt?,token,han1 - Parent Topics,han1 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID41""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID77_TEXT""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""QID64""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID59""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID79""}","{""ImportId"":""QID39""}","{""ImportId"":""QID68""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID72_2""}","{""ImportId"":""QID72_3""}","{""ImportId"":""QID72_4""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID44_3""}","{""ImportId"":""QID44_4""}","{""ImportId"":""QID44_5""}","{""ImportId"":""QID44_6""}","{""ImportId"":""QID44_13""}","{""ImportId"":""QID44_14""}","{""ImportId"":""QID45_4""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID48_4_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""token""}","{""ImportId"":""QID9_TEXT_2ffebbf64f2d404ba0e08341ParTopics""}","{""ImportId"":""QID9_TEXT_2ffebbf64f2d404ba0e08341Topics""}"
2020-11-04 03:06:49,2020-11-04 03:08:57,IP Address,89.236.29.86,100,128,True,2020-11-04 03:08:58,R_1eOEBJVoDPjcp6L,,,,,55.7028045654296875,13.1927032470703125,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,,,,test test,test test,test test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davidtest,,
2020-11-05 23:51:21,2020-11-05 23:57:43,IP Address,31.208.56.222,100,382,True,2020-11-05 23:57:44,R_2VJZVvohst4fwi6,,,,,59.328704833984375,18.0717010498046875,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,,,,,,,Anna testar,,,Man,Vet ej,Vet ej,Man,Man,Vet ej,,Kvinna,Kvinna,Vet ej,Kvinna,Vet ej,Kvinna,Vet ej,Vet ej,Man,Kvinna,Kvinna,Kvinna,Kvinna,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-04 10:35:00,2020-11-04 10:37:33,IP Address,81.235.48.189,98,152,False,2020-11-11 10:37:40,R_1nW6WdzoJuADATf,,,,,,,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,,,,,,,testar emma,,,,,,,,Kvinna,,Kvinna,,Kvinna,,Kvinna,Kvinna,,Kvinna,Man,,Kvinna,Kvinna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12 05:35:48,2020-11-12 05:40:34,IP Address,81.235.62.86,100,286,True,2020-11-12 05:40:34,R_20O3MZAWeOhIN7I,,,,,63.25,18.716705322265625,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,,,,Hen paddlar SUP-bräda på vattnet,Hen motionerar med en paddel på vattnet,"Hen står på en SUP-bräda och paddlar ",,,,Man,Man,Man,Man,Man,Man,Kvinna,Kvinna,Man,Kvinna,Man,Man,Man,Man,Man,Man,Kvinna,Kvinna,Kvinna,Man,40,Kvinna,5,6,6,6,5,3,3,4,5,5,4,"Stämmer inte alls
1",5,5,6,Någon gång i månaden,Någon gång i månaden,"Nej, känner ingen som använder hen som sitt pronomen",,"Könsnormer och könstillhörighet ",Nä,Nä,Nä,awxpxtc,,
2020-11-12 05:36:58,2020-11-12 05:44:15,IP Address,94.234.45.83,100,436,True,2020-11-12 05:44:16,R_3oNptomr5FE3nkc,,,,,55.60589599609375,13.000701904296875,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,Han paddelsurfar,Han paddlar,Han paddlar stående,,,,,,,Man,Man,Kvinna,Man,Man,Man,Kvinna,Kvinna,Man,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,Man,Kvinna,Kvinna,Kvinna,Kvinna,22,Man,3,5,5,4,"Stämmer helt
7",3,6,"Stämmer helt
7","Stämmer inte alls
1",4,"Stämmer inte alls
1","Stämmer inte alls
1","Mycket bra
7","Mycket bra
7","Mycket bra
7",Någon gång per vecka,Aldrig,"Nej, känner ingen som använder hen som sitt pronomen",,"Folks bild av kön, om det kan bestämmas grnom att bara se på någon. Även om det hur viktigt folk tycker kön är","Nej, men tycker ordet feminist är infekterat. Så en fråga om ifall jag tycker det borde vara jämställt hade varit bättre. Hade svarat ja då.",Ja,"Ja, samma ansikte fast med eller utan skägg för att få mig att ""tro"" att det var en man/kvinna",accahbt,,
2020-11-12 05:35:45,2020-11-12 05:44:30,IP Address,98.128.166.175,100,524,True,2020-11-12 05:44:30,R_2BwXqQUN3jZFBKE,,,,,57.7071990966796875,11.966796875,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,"Hon står upp ","Hon håller i en åra ",Hon står på någonting,,,,,,,,,,Man,Man,Icke-binär,Man,Man,Icke-binär,Kvinna,Kvinna,Icke-binär,Kvinna,Man,Man,Kvinna,Kvinna,Icke-binär,Man,Kvinna,Icke-binär,Kvinna,Kvinna,25,"Kvinna ",3,"Stämmer helt
7","Stämmer helt
7",6,4,4,4,"Stämmer inte alls
1","Stämmer helt
7",4,5,"Stämmer inte alls
1",4,5,"Mycket bra
7",Någon gång i månaden,Någon gång om året,"Nej, känner ingen som använder hen som sitt pronomen",,"Synen på vad som är  man och kvinna ",Nä,Nä,Nä,aqwspzq,,
2020-11-12 05:43:01,2020-11-12 05:46:57,IP Address,95.199.140.123,100,235,True,2020-11-12 05:46:57,R_2V1NxwouZRBferC,,,,,59.32470703125,18.055999755859375,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,,,,"Personen paddlar. ","Personen är I vattnet. ","Personen står upp. ",,,,Man,Man,,Man,Vet ej,Icke-binär,Kvinna,Kvinna,Vet ej,Kvinna,Icke-binär,Kvinna,Kvinna,Kvinna,Kvinna,Vet ej,Kvinna,Kvinna,Kvinna,Kvinna,28,Man,3,"Stämmer helt
7","Stämmer helt
7",2,6,6,"Stämmer helt
7","Stämmer helt
7","Stämmer inte alls
1",4,3,2,3,3,"Mycket bra
7",Aldrig,Någon gång om året,"Nej, känner ingen som använder hen som sitt pronomen",,Könsnormer,Nej,Neu,"Ja vissa såg både kvinnliga och manliga ut. Man undrar ju om ni ändrat bilderna i datorn eller om det är riktiga personer. En del ser ju faktiskt lite blandade ut i verkligheten, men då kan man se på resten av kroppen  samt klädstilen om det är en kille eller tjej oftast. ",acrbpsz,,
2020-11-12 05:39:52,2020-11-12 05:47:28,IP Address,95.140.187.146,100,456,True,2020-11-12 05:47:29,R_yQEj2hMYaGFBjHj,,,,,59.931793212890625,16.8582000732421875,anonymous,EN,Jag har läst informationen ovan och samtycker till att vara med i studien,,,,Han paddlar,"Han står och paddlar SUP ",Han står och paddlar,,,,,,,Man,Man,Man,Man,,Man,Kvinna,Kvinna,Icke-binär,Icke-binär,Man,Kvinna,Man,Icke-binär,Man,Man,Kvinna,Kvinna,Kvinna,Kvinna,27,Kvinna,"Stämmer helt
7",4,4,"Stämmer helt
7",4,"Stämmer inte alls
1","Stämmer inte alls
1",5,2,2,6,"Stämmer inte alls
1",4,5,6,Någon gång om året,Någon gång per vecka,"Nej, känner ingen som använder hen som sitt pronomen",,"Synen på vad som är kvinnligt och manligt, könstillhörighet ",Nej,,"Ja ",atbrxdu,,
