30f1f,30f2f,30f3f,30f4f,30f5f,30f7f,30f6f,30f8f,30f9f,30f10f,50f1f,50f2f,50f4f,50f3f,50f5f,50f6f,50f7f,50f8f,50f9f,70f10f,70f8f,70f9f,70f7f,70f6f,70f5f,70f4f,70f3f,70f2f,70f1f,50f11f,50f10f,30f1m,30f3m,30f3m,30f4m,30f5m,30f7m,30f6m,30f8m,30f9m,30f10m,50f1m,50f2m,50f4m,50f3m,50f5m,50f6m,50f7m,50f8m,50f9m,50f11m,50f10m,70f1m,70f2m,70f3m,70f4m,70f5m,70f6m,70f7m,70f8m,70f9m,70f10m,Q262,Q264,Q270
"
1",,,,"
1",,,,,,4,,,5,,4,5,5,,,4,"

7",5,,4,,5,,4,4,,,,6,6,"

7",3,4,,,,,3,4,3,,5,5,,,,3,,4,,,,,,,"
1",3,,,
"
1","
1",,"
1","
1",2,3,,"
1",,5,"
1",,,"
1",4,,,,,,,4,,6,"

7",,6,,,,"

7",,4,,,,4,,,"

7",2,6,,,,,,,,,6,5,"
1",3,"
1",2,,4,"
1","
1",,58,kvinna,
,"
1",,"
1","
1",,"
1",,,"
1",,"
1",6,,"
1",2,"
1",,,6,,,,5,,,6,"

7",4,,,,,3,3,,2,4,,,4,"
1",,,,3,,,,3,2,2,2,"
1",,,"
1",,2,,,"
1",24,Kvinna,
"
1",,,"
1","
1",2,,,,,,,5,,"
1",,,,,"

7","

7","

7",6,2,,"

7",4,,"
1",2,,,,,6,,,,5,,,,,,,,,"

7",6,"

7",5,5,6,"
1",2,"
1","
1",,4,,"
1",2,61,Kvinna,
,,2,"
1",,3,"
1",2,"
1",,,3,,,2,,,,,6,6,,5,,,6,,"

7",,5,3,,,4,5,6,3,6,,4,6,,3,,,4,4,,,,,,4,,2,"
1",,,,2,,"
1",28,Kvinna,
,,,,"
1",,"
1",,"
1",,5,4,,4,3,4,,,,,6,"

7",,5,,4,,,3,3,"
1",,,3,5,,2,5,,,6,3,,2,,3,2,3,,6,,4,,"
1",,,"
1",,,"
1",,,52,Kvinna ,"Inga konstigheter, funderade inte länge, gick på min känsla "
,,,"
1",,6,,3,,2,,,6,,"
1",4,"
1",6,4,"

7",,,3,5,,,,,,5,2,6,"

7",,5,,,,,"

7",,,,,3,,,,"
1",3,"
1",4,,2,,3,"
1",,4,,"
1","
1",20,Kvinna,
,"
1","
1",,,,"
1","
1",,,,"
1",,,"
1",,3,4,,,,5,4,2,4,"
1",,,"
1",4,,"
1",,"
1",2,2,,"
1",,"
1",,,"
1",,,,"
1","
1","
1",,"
1","
1",,,,"
1",,,"
1","
1",,,27,Kvinna,
,,6,,4,4,4,4,5,3,5,2,,,,,,,,"

7",,"

7",,5,4,,6,"

7",,,,6,,4,4,,,6,,4,5,,5,,"
1",,3,3,4,"

7",,,,,,4,,4,,,,"
1",33,Man,
"
1",,,,,4,,"
1","
1","

7","

7",,,"

7","
1","
1",4,,"
1",,"

7",,,,,,,,"
1","

7",4,,"

7",,6,,,"

7",,4,,,,"
1",,"

7",,,4,"

7",,6,,,2,4,"
1",,4,,"
1","
1",25,Kvinna,"Svårt att ändra tankesätt om VAR en skulle klicka för  vs . Klickade fel på första bilden då pga huvudet hade lärt sig att manligt var nere och kvinnligt uppe, om ni förstår vad jag menar. "
"
1",,3,,,,"
1",,,"
1",,"
1",,3,"
1",2,3,2,,,6,6,2,,,,3,3,,,,,,3,5,3,"
1",5,5,,6,,4,2,,,4,,2,,3,4,6,,,,2,,,,,,29,Kvinna ,
"
1",,,,"
1",4,2,,,"
1",3,2,,5,2,2,,3,,,,,,,4,,,5,,4,2,4,5,,6,5,5,,4,4,5,4,,3,,6,,,"
1",,4,,,,2,4,,,,,,,26,Kvinna,
2,,,"
1",2,3,,,3,"
1",,,4,,,4,2,,2,,5,,,,4,5,4,,,2,,4,4,2,,4,"
1",,2,,3,,,"
1","
1",,,2,"
1",,,,3,,,,"
1",,2,"
1",,,52,Kvinna,
"
1",,,"
1",,4,,,2,"
1",,,4,,"
1",,4,,4,6,,,3,4,6,"

7",,,,,2,,5,,4,6,,,5,,5,2,2,,,3,4,,,,,3,3,3,,,,2,,2,,"
1",35,Kvinna,
,,,"
1",,,,2,2,,,4,5,,2,3,,,"
1","

7",6,6,5,,6,,3,6,,,,,,,"

7",6,,5,6,5,,,4,3,,5,4,4,,5,,,,"
1",3,,2,,,"
1",,,31,Man,
"
1",,2,,,,3,"
1",,,5,"
1",4,5,,2,2,5,,6,,,,,,,4,,4,4,,,"

7",,,6,,,,"

7","

7",3,5,3,,,,,3,,4,"

7",6,,,2,2,6,4,,,,62,Kvinna,
,,,"
1",,4,,"
1",,"
1",5,2,6,,,,5,5,2,6,,,,,,,,6,2,4,"
1","

7","

7",,,"

7",2,6,"

7","

7",,,4,,4,5,,,,4,,,5,,,,,,"
1","
1",,"
1",46,Kvinna,
"
1","
1",2,,"
1",2,"
1",,,"
1",,3,4,,2,,,,,"

7",,,,6,6,,,,"
1",5,,"

7","

7",4,,"

7",3,,,6,,,,2,2,,,,,,2,4,6,"
1","
1","
1",,"
1",,,,,28,Kvinna,
"
1","
1",,,"
1",,"
1",2,,,"
1",2,,,"
1",,3,6,,,"

7",,2,5,"

7",,3,,,,,,5,3,4,,,,,5,4,"
1",,"
1","
1",,,,"
1",,2,,,"
1",,"
1","
1",,,"
1","
1",,32,man,
,"
1",,,,,"
1",,"
1","
1",5,4,6,"

7",3,,4,5,,"

7",,"

7",,,,,,,2,,3,,,5,,"

7",,5,,"

7","

7",,,4,"
1",,,,,,2,4,,2,3,"
1","
1",,,,"
1","
1",28,Kvinna ,
"
1",,"
1",3,,4,,,"
1",,,,4,,2,2,2,3,4,5,6,,5,,,5,,,,,,5,,,,4,,,3,3,4,,,3,,4,3,2,4,,2,,4,,,"
1",,,,,"
1","
1",45,Kvinna,På bilderna med skäggstubb fick jag automatiskt känslan för att det var manligt även om ansiktet i sig inte var speciellt manligt.
"
1","
1",2,,2,5,3,"
1",,,5,,,3,5,,,,3,,,,6,,,,2,,,5,3,,4,4,4,,,4,,,,,3,,,,3,,3,3,,3,3,"
1",,,"
1","
1",,"
1",,"
1",67,Kvinna,
,,5,,"
1",,2,,2,"
1",,,,,,3,5,"

7",2,"

7","

7",,6,6,,,,,3,6,,"

7",,5,"

7","

7",,,,6,"

7","
1",3,,,,5,4,,,,,5,2,3,,,,3,,,2,33,Kvinna ,
,"
1",4,4,,,,3,,,5,,5,4,,,,4,,,6,"

7",5,,,,5,6,5,,4,4,4,2,4,4,"
1",,,3,,,4,,2,,"
1",,,3,"
1",2,,,,,,2,2,,,,39,Man,"Väldigt androgyna, med ett fåtal undantag."
