Q262,Q264,Q270,id,faces,score,scale,type
,,,1,X30f1f,1,f,30f
,,,1,X30f2f,NA,f,30f
,,,1,X30f2m,NA,m,30f
,,,1,X30f4f,NA,f,30f
,,,1,X30f5f,1,f,30f
,,,1,X30f7f,NA,f,30f
,,,1,X30f6f,NA,f,30f
,,,1,X30f8f,NA,f,30f
,,,1,X30f9f,NA,f,30f
,,,1,X30f10f,NA,f,30f
,,,1,X50f1f,4,f,50f
,,,1,X50f2f,NA,f,50f
,,,1,X50f4f,NA,f,50f
,,,1,X50f3f,5,f,50f
,,,1,X50f5f,NA,f,50f
,,,1,X50f6f,4,f,50f
,,,1,X50f7f,5,f,50f
,,,1,X50f8f,5,f,50f
,,,1,X50f9f,NA,f,50f
,,,1,X70f10f,NA,f,70f
,,,1,X70f8f,4,f,70f
,,,1,X70f9f,7,f,70f
,,,1,X70f7f,5,f,70f
,,,1,X70f6f,NA,f,70f
,,,1,X70f5f,4,f,70f
,,,1,X70f4f,NA,f,70f
,,,1,X70f3f,5,f,70f
,,,1,X70f2f,NA,f,70f
,,,1,X70f1f,4,f,70f
,,,1,X50f11f,4,f,50f
,,,1,X50f10f,NA,f,50f
,,,1,X30f1m,NA,m,30f
,,,1,X30f3m,NA,m,30f
,,,1,X30f3f,6,f,30f
,,,1,X30f4m,6,m,30f
,,,1,X30f5m,7,m,30f
,,,1,X30f7m,3,m,30f
,,,1,X30f6m,4,m,30f
,,,1,X30f8m,NA,m,30f
,,,1,X30f9m,NA,m,30f
,,,1,X30f10m,NA,m,30f
,,,1,X50f1m,NA,m,50f
,,,1,X50f2m,3,m,50f
,,,1,X50f4m,4,m,50f
,,,1,X50f3m,3,m,50f
,,,1,X50f5m,NA,m,50f
,,,1,X50f6m,5,m,50f
,,,1,X50f7m,5,m,50f
,,,1,X50f8m,NA,m,50f
,,,1,X50f9m,NA,m,50f
,,,1,X50f11m,NA,m,50f
,,,1,X50f10m,3,m,50f
,,,1,X70f1m,NA,m,70f
,,,1,X70f2m,4,m,70f
,,,1,X70f3m,NA,m,70f
,,,1,X70f4m,NA,m,70f
,,,1,X70f5m,NA,m,70f
,,,1,X70f6m,NA,m,70f
,,,1,X70f7m,NA,m,70f
,,,1,X70f8m,NA,m,70f
,,,1,X70f9m,1,m,70f
,,,1,X70f10m,3,m,70f
58,kvinna,,2,X30f1f,1,f,30f
58,kvinna,,2,X30f2f,1,f,30f
58,kvinna,,2,X30f2m,NA,m,30f
58,kvinna,,2,X30f4f,1,f,30f
58,kvinna,,2,X30f5f,1,f,30f
58,kvinna,,2,X30f7f,2,f,30f
58,kvinna,,2,X30f6f,3,f,30f
58,kvinna,,2,X30f8f,NA,f,30f
58,kvinna,,2,X30f9f,1,f,30f
58,kvinna,,2,X30f10f,NA,f,30f
